case_id,seg_path
57_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_0_0_synthetic_lollipop.nii.gz
57_1_208,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_1_208_synthetic_lollipop.nii.gz
57_2_572,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_2_572_synthetic_lollipop.nii.gz
58_1_214,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/58_1_214_synthetic_lollipop.nii.gz
69_1_106,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_1_106_synthetic_lollipop.nii.gz
69_2_469,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_2_469_synthetic_lollipop.nii.gz
74_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_0_0_synthetic_lollipop.nii.gz
74_2_1367,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_2_1367_synthetic_lollipop.nii.gz
80_1_106,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_1_106_synthetic_lollipop.nii.gz
80_2_294,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_2_294_synthetic_lollipop.nii.gz
80_3_661,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_3_661_synthetic_lollipop.nii.gz
87_1_1322,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/87_1_1322_synthetic_lollipop.nii.gz
